review,rating,date,bank,source,sentiment_label,sentiment_score
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,POSITIVE,0.8
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,POSITIVE,0.5
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,POSITIVE,0.8
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,NEUTRAL,0.06666666666666665
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,NEGATIVE,-0.125
what is this app problem???,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,POSITIVE,0.7
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,NEUTRAL,0.0
good,4,2025-06-05,CBE,Google Play,POSITIVE,0.7
not functional,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,POSITIVE,0.23416666666666666
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,NEUTRAL,0.0
best,5,2025-06-04,CBE,Google Play,POSITIVE,1.0
bezabih,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,POSITIVE,1.0
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,POSITIVE,0.4928571428571428
Good,5,2025-06-04,CBE,Google Play,POSITIVE,0.7
👌👍,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0
very niec,5,2025-06-04,CBE,Google Play,POSITIVE,0.2
best app of finance,5,2025-06-04,CBE,Google Play,POSITIVE,1.0
yetemeta,1,2025-06-03,CBE,Google Play,NEUTRAL,0.0
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,NEUTRAL,0.0
it is not safety,1,2025-06-03,CBE,Google Play,NEUTRAL,0.0
NICE bank,5,2025-06-03,CBE,Google Play,POSITIVE,0.6
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,NEGATIVE,-0.2333333333333333
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,POSITIVE,0.35
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,POSITIVE,0.7
best app,5,2025-06-01,CBE,Google Play,POSITIVE,1.0
Awesome bank,5,2025-06-01,CBE,Google Play,POSITIVE,1.0
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,POSITIVE,0.2214814814814815
Masha alla,5,2025-05-31,CBE,Google Play,NEUTRAL,0.0
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,NEGATIVE,-0.15333333333333332
better service,5,2025-05-31,CBE,Google Play,POSITIVE,0.5
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,POSITIVE,0.7
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,NEUTRAL,0.0
lower system everything,3,2025-05-30,CBE,Google Play,NEUTRAL,0.0
Nice!,5,2025-05-30,CBE,Google Play,POSITIVE,0.75
Keep it up My CBE,5,2025-05-29,CBE,Google Play,NEUTRAL,0.0
yes good,5,2025-05-28,CBE,Google Play,POSITIVE,0.7
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,NEUTRAL,0.0
i like everything of this app,5,2025-05-27,CBE,Google Play,NEUTRAL,0.0
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,NEUTRAL,0.0
Best,5,2025-05-26,CBE,Google Play,POSITIVE,1.0
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,POSITIVE,0.31999999999999995
nice,5,2025-05-26,CBE,Google Play,POSITIVE,0.6
good job,5,2025-05-26,CBE,Google Play,POSITIVE,0.7
it's awesome!!,5,2025-05-25,CBE,Google Play,POSITIVE,1.0
thankyou every one,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,POSITIVE,0.4666666666666666
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,NEGATIVE,-0.1405050505050505
mortuary app,5,2025-05-25,CBE,Google Play,NEUTRAL,0.0
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,POSITIVE,0.21428571428571427
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,POSITIVE,0.6000000000000001
👍,5,2025-05-24,CBE,Google Play,NEUTRAL,0.0
good app,5,2025-05-24,CBE,Google Play,POSITIVE,0.7
i love it 😍😘,5,2025-05-24,CBE,Google Play,POSITIVE,0.5
It makes life easy!👌,5,2025-05-24,CBE,Google Play,NEUTRAL,0.0
its not fast,1,2025-05-24,CBE,Google Play,NEUTRAL,-0.1
wow,4,2025-05-24,CBE,Google Play,NEUTRAL,0.1
it is sooo good,5,2025-05-24,CBE,Google Play,POSITIVE,0.7
excellent,5,2025-05-24,CBE,Google Play,POSITIVE,1.0
ok,1,2025-05-24,CBE,Google Play,POSITIVE,0.5
Fantastic,5,2025-05-23,CBE,Google Play,POSITIVE,0.4
accessible to using,5,2025-05-23,CBE,Google Play,POSITIVE,0.375
I like it,4,2025-05-23,CBE,Google Play,NEUTRAL,0.0
why you change default network?,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0
very nice 👍,5,2025-05-23,CBE,Google Play,POSITIVE,0.78
nice fast app,5,2025-05-23,CBE,Google Play,POSITIVE,0.4
how to I get my money,5,2025-05-23,CBE,Google Play,NEUTRAL,0.0
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,NEGATIVE,-0.9099999999999998
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,POSITIVE,0.9099999999999999
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,POSITIVE,0.13
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,NEGATIVE,-0.5
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,NEGATIVE,-0.16666666666666666
hojii bonsaadha,5,2025-05-22,CBE,Google Play,NEUTRAL,0.0
