review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,POSITIVE,0.8,great app like carrying bank pocket,UI/UX
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,POSITIVE,0.5,garrantty bank ebc,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,POSITIVE,0.8,really happy app siple use everything,UI/UX
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,NEUTRAL,0.0666666666666666,liked app user interface basic attractive,UI/UX
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,NEGATIVE,-0.125,atm support transfer like country kenya nigeria south africa,Transactions
what is this app problem???,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0,app problem,UI/UX
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,POSITIVE,0.7,app proactive good connection,UI/UX
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,NEUTRAL,0.0,send cbebirr app app,UI/UX
good,4,2025-06-05,CBE,Google Play,POSITIVE,0.7,good,Other
not functional,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0,functional,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,POSITIVE,0.2341666666666666,everytime uninstall app reach physically oldy one security layer check fraud attempt via app source directly source app store play store etc implicitly physical presence every app install traditional traditionally rare,UI/UX
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,NEUTRAL,0.0,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,Other
best,5,2025-06-04,CBE,Google Play,POSITIVE,1.0,best,Other
bezabih,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0,bezabih,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,POSITIVE,1.0,best mobile banking app ever,UI/UX
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,POSITIVE,0.4928571428571428,good app issue like doesnt give right amount bank issue transferring,UI/UX
Good,5,2025-06-04,CBE,Google Play,POSITIVE,0.7,good,Other
👌👍,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0,,Other
very niec,5,2025-06-04,CBE,Google Play,POSITIVE,0.2,niec,Other
best app of finance,5,2025-06-04,CBE,Google Play,POSITIVE,1.0,best app finance,UI/UX
yetemeta,1,2025-06-03,CBE,Google Play,NEUTRAL,0.0,yetemeta,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,NEUTRAL,0.0,engida kebede fetera,Other
